Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-11,Clint Eastwood - ranking,,https://boxd.it/KGow0,

Position,Name,Year,URL,Description
1,Gran Torino,2008,https://boxd.it/1Qzy,
2,The Bridges of Madison County,1995,https://boxd.it/29Os,
3,A Perfect World,1993,https://boxd.it/1Yng,
4,Unforgiven,1992,https://boxd.it/6Z4,
5,Million Dollar Baby,2004,https://boxd.it/2bdI,
6,Cry Macho,2021,https://boxd.it/s9z0,
7,The Mule,2018,https://boxd.it/idcY,
8,Absolute Power,1997,https://boxd.it/2bem,
9,"White Hunter, Black Heart",1990,https://boxd.it/1oRY,
10,Pale Rider,1985,https://boxd.it/1ZGy,
11,American Sniper,2014,https://boxd.it/5LDy,
