Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-19,Éric Rohmer - ranking,,https://boxd.it/SHVle,

Position,Name,Year,URL,Description
1,Boyfriends and Girlfriends,1987,https://boxd.it/14C,
2,A Summer's Tale,1996,https://boxd.it/183e,
3,A Tale of Winter,1992,https://boxd.it/1WJO,
4,Love in the Afternoon,1972,https://boxd.it/1Svo,
5,The Green Ray,1986,https://boxd.it/t8W,
6,The Aviator's Wife,1981,https://boxd.it/1srq,
7,Claire's Knee,1970,https://boxd.it/26aO,
8,Pauline at the Beach,1983,https://boxd.it/1WC4,
9,A Tale of Autumn,1998,https://boxd.it/1WJY,
10,My Night at Maud's,1969,https://boxd.it/Hwo,
11,Four Adventures of Reinette and Mirabelle,1987,https://boxd.it/18QA,
