Date,Name,Year,Letterboxd URI,Rating
2024-03-22,The Godfather,1972,https://boxd.it/2aNK,5
2024-05-18,Society of the Snow,2023,https://boxd.it/y9aw,4.5
2024-06-02,Dallas Buyers Club,2013,https://boxd.it/4O8G,4
2024-06-10,Her,2013,https://boxd.it/4O24,3
2024-08-14,The Boy Who Harnessed the Wind,2019,https://boxd.it/hIgA,4
2024-08-19,Boyhood,2014,https://boxd.it/3178,4
2024-08-21,Silver Linings Playbook,2012,https://boxd.it/2TTo,3
2024-08-26,Get Out,2017,https://boxd.it/eOCm,4
2024-09-16,Late Night with the Devil,2023,https://boxd.it/zo6G,2.5
2024-09-17,La Haine,1995,https://boxd.it/2as8,5
2024-10-14,Challengers,2024,https://boxd.it/zld0,4
2024-10-21,Do the Right Thing,1989,https://boxd.it/29gA,5
2024-11-17,Taxi Driver,1976,https://boxd.it/2b8y,4
2025-02-02,I'm Still Here,2024,https://boxd.it/BPEO,5
2025-03-06,Aftersun,2022,https://boxd.it/Arw0,4
2025-03-20,Ran,1985,https://boxd.it/1Tlu,5
2025-05-01,Mulholland Drive,2001,https://boxd.it/297o,5
2025-05-04,Chungking Express,1994,https://boxd.it/1UDa,5
2025-05-06,Once Upon a Time in America,1984,https://boxd.it/2aCs,3.5
2025-05-07,8 Mile,2002,https://boxd.it/2bew,5
2025-05-18,"Hail, Sarajevo",1993,https://boxd.it/5mrC,5
2025-05-20,A Minecraft Movie,2025,https://boxd.it/zRro,1.5
2025-05-26,Pom Poko,1994,https://boxd.it/1Mvi,4
2025-05-28,For a Few Dollars More,1965,https://boxd.it/29eu,4.5
2025-06-13,Ghost in the Shell,1995,https://boxd.it/1YYc,4
2025-06-15,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2025-06-17,The Thing,1982,https://boxd.it/294O,5
2025-06-18,Into the Wild,2007,https://boxd.it/22m2,3
2025-06-18,BEEF,2023,https://boxd.it/FPsm,4
2025-06-18,Joker,2019,https://boxd.it/h4cS,3
2025-06-18,Parasite,2019,https://boxd.it/hTha,5
2025-06-18,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,3.5
2025-06-18,A Star Is Born,2018,https://boxd.it/aXgc,3.5
2025-06-18,Black Panther,2018,https://boxd.it/8MHs,3
2025-06-18,Maze Runner: The Death Cure,2018,https://boxd.it/bakw,2
2025-06-18,Your Name.,2016,https://boxd.it/cUqs,4
