Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-05-18,Society of the Snow,2023,https://boxd.it/6uIuoX,4.5,,"Uma das melhores experiências que já tive assistindo algo baseado em fatos reais. Mix de sensações do início ao fim. Roteiro e narração surpreendentes, e a edição é, sem dúvida, um dos maiores destaques — talvez o que eleva tanto a experiência. A única questão que me incomodou foi o último ato, que acontece de forma muito acelerada, especialmente considerando todo o desenvolvimento emocional construído até ali. Acredito que o resgate e suas consequências mereciam mais tempo de tela, mais elaboração, para que o impacto fosse completamente assimilado.",,2024-05-17
2024-08-12,Central Station,1998,https://boxd.it/75b3kr,4.5,,“Tenho saudade de tudo.”,,2024-08-11
2024-08-26,Get Out,2017,https://boxd.it/7bFQJp,4,,Se num fosse o final...,,2024-08-25
2024-09-17,La Haine,1995,https://boxd.it/7lmZRz,5,,"Ódio gerando mais ódio, como sempre.",,2024-09-16
2025-03-20,Ran,1985,https://boxd.it/9b8LF3,5,,"“O homem nasce chorando. E quando já chorou o suficiente, morre!”

Esse filme é a sétima arte no nível máximo que se pode chegar. É uma pintura em movimento.",,2025-03-20
2025-05-02,Mulholland Drive,2001,https://boxd.it/9zJAJN,5,,Nem tudo precisa ser entendido pra ser bom.,helene,2025-05-01
2025-05-04,Chungking Express,1994,https://boxd.it/9Bf3f9,5,,O hiperfoco em latas de abacaxi e aviãozinho de brinquedo,,2025-05-04
2025-05-26,Pom Poko,1994,https://boxd.it/9O9cgF,4,,"A primeira metade de Pom Poko tem um pacing ótimo. Tudo acontece na medida certa e a história prende. Já na segunda parte, o filme desacelera bastante e demora para passar uma mensagem que já estava clara. Mesmo assim, não chega a ser chato. Longe disso. Continua interessante e dá para sentir o peso do que tá sendo contado.
O que o filme mostra, no fim das contas, é que não importa o que os animais façam, eles sempre vão acabar sendo expulsos do lugar onde vivem. Se tentam se adaptar e viver em paz com os humanos, não adianta. Se resolvem lutar para manter seu espaço, também não dá certo. O final deixa isso bem claro: os humanos sempre vencem, e a natureza é quem perde.
É muito bonito, triste e honesto. Ele não tenta suavizar as coisas, e talvez por isso seja tão impactante. Mesmo com cenas engraçadas e leves, no fundo é sobre perda, adaptação forçada e um mundo que não para por ninguém. Dá um aperto ver que, no finalzinho, tudo vira concreto.",helene,2025-05-25
2025-05-28,A Fistful of Dollars,1964,https://boxd.it/9Plb5f,3.5,,"Visualmente, o filme é um espetáculo. A cinematografia é cheia de personalidade, com os close-ups característicos do Leone. A trilha sonora do Ennio Morricone é sensacional. É estranha, assobiada, minimalista e também cheia de personalidade, complementando a cinematografia. Os closes intensos, os silêncios prolongados antes dos duelos, a tensão construída nos olhares. Tudo isso é muito bem dirigido.
Gostei bastante da coreografia das gunfights, que são criativas, tensas e muito bem executadas. Cada confronto tem peso e é visualmente impactante, com uma ótima construção de suspense. A cena em que Joe rasteja para escapar (e se vingar) é especialmente tensa e visualmente marcante. É um dos pontos altos do filme, ao lado da atuação do Clint.
Ainda assim, mesmo com tantos méritos técnicos e estilísticos, o pacing às vezes pesa. A trama é simples, e em certos momentos a repetição e a falta de complexidade dramática fazem com que um filme de apenas 1h30 pareça mais longo do que realmente é.",,2025-05-27
2025-05-28,For a Few Dollars More,1965,https://boxd.it/9Pm0yR,4.5,,"O segundo filme da trilogia é, assim como <i>Por um Punhado de Dólares</i>, visualmente impressionante. Os close-ups marcantes, a trilha sonora envolvente, que traz a tensão e o clima uplifting que o filme precisa, além de mais uma atuação memorável do Clint. 
Desta vez, com a impecável performance de Lee Van Cleef como o coronel Mortimer, que dá vida ao personagem, estabelecendo uma química dinâmica com Clint e fortalecendo a interação entre os protagonistas. Essa relação contribui para tornar a narrativa ainda mais envolvente, com uma trama cheia de reviravoltas bem construídas e um drama que prende durante as mais de 2 horas de duração. Tudo isso reflete um claro aprendizado de Leone em relação ao filme anterior, evidenciado por uma escrita mais consistente, um design de produção cuidadoso e detalhado, personagens mais profundos e humanos, e um diretor visivelmente mais seguro e confiante em sua abordagem. 
Além disso, este é mais divertido que o antecessor. Começa e termina sem perder o ritmo, praticamente sem dar tempo para respirar. Ele mostra como o faroeste pode ser ao mesmo tempo estiloso e substancial.",,2025-05-27
2025-06-08,Ghost in the Shell,1995,https://boxd.it/9W9el5,4,,"""E para onde eu vou agora? Há uma rede vasta e sem limites.""
Essa pergunta ainda tá martelando na minha cabeça. É um filme sobre tecnologia, de alma, mas no fundo tá falando mesmo é de livre-arbítrio, de esperança num mundo onde tudo pode ser manipulado, e do medo de perder quem a gente é, ou pior, descobrir que nunca soube.",helene,2025-06-08
2025-06-15,Do the Right Thing,1989,https://boxd.it/a0oDuH,5,Yes,"Tudo aquilo que já tinha me impactado na primeira vez em que assisti ao filme ficou ainda mais evidente na segunda vez. <i>Do the Right Thing </i>começa com calor e leveza - parece só mais um dia comum no Brooklyn - e termina só com calor. A sensação é que, a cada novo ato, a fotografia vai ficando mais quente e sufocante. E isso vale pra tudo: os diálogos, os conflitos, as expressões dos personagens. No fim, o filme inteiro gira em torno do calor - o literal e o simbólico - e como ele afeta todo mundo.",,2025-06-14
2025-06-15,"The Good, the Bad and the Ugly",1966,https://boxd.it/a0qke5,5,,"O terceiro filme da trilogia eleva tudo a um patamar mais amplo e complexo. A cinematografia reforça a imensidão do Oeste, complementada pela melodia principal que nele ecoa. A narrativa se estrutura em micro arcos centrados nos três protagonistas, agora com a inclusão do Ugly, e é nessa dinâmica que o filme ganha vida. Cada pequena história, cada traição e aliança temporária funciona como um ciclo próprio de muita imprevisibilidade. Uma das minhas cenas favoritas é quando o Ugly procura o túmulo no cemitério, porque ali estão todos os elementos que fazem o filme funcionar: a tensão, a atmosfera e a trilha sonora quase hipnótica. As gunfights são ainda mais intensas e meticulosamente coreografadas, especialmente no confronto final.",,2025-06-14
2025-06-17,The Thing,1982,https://boxd.it/a21eDr,5,,"Os vínculos humanos, já fragilizados pelo isolamento e pelo medo, são completamente destruídos pela impossibilidade de reconhecer o outro. A única maneira de diferenciação entre os semelhantes é fisiológica: corpo & sangue se tornam os únicos que trazem a verdade.
O diretor não só cria um terror atmosférico inigualável, mas faz do desconforto algo quase filosófico: o que ainda nos torna humanos quando nem a nossa forma é confiável? A paranoia que se instala entre os personagens não é apenas uma resposta à ameaça externa, mas um reflexo da instabilidade da identidade. Neste caso, a ameaça não vem de fora, mas de dentro.",,2025-06-17
2025-06-20,Isle of Flowers,1989,https://boxd.it/a3kNfL,5,,"Antes de ser alimento, o tomate precisa ser mercadoria. E antes de alimentar um ser humano sem dinheiro, ele pode, legitimamente, ser dado a um porco. Não se trata de escassez, mas de prioridade. E a prioridade nunca é a dignidade. Quando até o resto de comida obedece às leis do mercado, e o consumo vem antes da fome, fica claro que o problema não é a falta, é o sistema.",,2025-06-19
2025-06-29,John Wick,2014,https://boxd.it/a9yUHp,3,,"<i>John Wick</i> tem coreografias excelentes e uma direção muito clean nas cenas de combate. A estrutura narrativa é simples e direta. O maior problema tá no uso do slow motion, que quebra o ritmo e pouco acrescenta visualmente. É eficaz como ação, mas essas escolhas estilísticas pontuais acabam comprometendo a fluidez do filme.",,2025-06-28
2025-06-30,Unforgiven,1992,https://boxd.it/aam5cP,5,,"<i>Os Imperdoáveis </i>subverte o faroeste clássico ao mostrar que heróis e vilões muitas vezes ocupam o mesmo lugar, e que não existe redenção sem culpa. Clint Eastwood, como de costume, domina a tela: atua com os olhos, com o corpo exausto, e até suas rugas carregam o passado que seu personagem tenta enterrar. É um faroeste realista e desencantado, onde a violência tem peso e matar deixou de ser glorioso. Algo que <i>The Sopranos</i> também faria com a máfia anos depois.",,2025-06-29
2025-06-30,In the Mood for Love,2000,https://boxd.it/aauC59,5,,"<i>In the Mood For Love</i> constrói tudo pelo que escolhe não mostrar. Nunca vemos o quarto de Chow, nem a casa de Chan. Só os espaços em comum - sala, cozinha - barulhentos, apertados. Quando os dois ficam juntos no quarto dele, o barulho quase desaparece. O espaço, antes caótico, vira respiro.
Os cônjuges também nunca aparecem de fato. São apenas vozes ou silhuetas de costas. Mesmo ausentes, ocupam os planos.
Chan se camufla nos cenários. Seus vestidos ecoam as cores das paredes e dos objetos, como se o ambiente a engolisse. Wong Kar-Wai filma por frestas, espelhos e corredores. O que move o filme tá nesses vazios. Nas pausas. No que nunca chega a acontecer.",helene,2025-06-30
2025-07-05,Persona,1966,https://boxd.it/adN2bb,5,,"Elisabet cala. Alma fala por ela. Aos poucos, as duas se fundem. Uma vira o reflexo da outra. O que começa como conversa vira um espelho — que não apenas reflete, mas distorce, multiplica e, como o copo que se parte no filme, se quebra. Não é só uma troca de vozes, é a perda do que as separa. Quem fala? Quem cala? Onde termina Elisabet e começa Alma?",,2025-07-05
